START_POPULATION,CROWDING_COEFFICIENT,REPRODUCTION_PROBABILITY,DEATH_PROBABILITY,ITERATION_GRAND_MEAN,LOWER_95_CI,UPPER_95_CI
1,1e-05,0.05,0,4995.2039800995,4993.46268656716,4996.94029850746
1,1e-05,0.1,0.05,2948.87562189055,2947.92537313433,2949.8855721393
1,1e-05,0.15,0.1,1699,1698.14925373134,1699.85074626866
1,1e-05,0.2,0.15,1697.16417910448,1696.14925373134,1698.15422885572
1,1e-05,0.25,0.2,1401.39303482587,1400.76119402985,1402.02985074627
1,1e-05,0.3,0.25,1000.84577114428,1000.07462686567,1001.65174129353
1,1e-05,0.35,0.3,1202.75124378109,1202.09950248756,1203.40298507463
1,1e-05,0.4,0.35,1002.592039801,1001.90049751244,1003.31343283582
1,1e-05,0.45,0.4,1397.98507462687,1397.10447761194,1398.97512437811
1,1e-05,0.5,0.45,951.910447761194,950.985074626866,952.835820895522
1,1e-05,0.55,0.5,995.412935323383,994.572139303483,996.253731343284
1,1e-05,0.6,0.55,800.283582089552,799.691542288557,800.885572139303
1,1e-05,0.65,0.6,798.522388059701,797.850746268657,799.253731343284
1,1e-05,0.7,0.65,1044.61691542289,1043.86069651741,1045.39800995025
1,1e-05,0.75,0.7,1301.98009950249,1301.19402985075,1302.77114427861
1,1e-05,0.8,0.75,1249.21890547264,1248.39800995025,1250.03482587065
1,1e-05,0.85,0.8,1100.5223880597,1099.67661691542,1101.34328358209
1,1e-05,0.9,0.85,1699.91542288557,1699.20895522388,1700.61194029851
1,1e-05,0.95,0.9,2146.39800995025,2145.70646766169,2147.09452736318
1,1e-05,1,0.95,4997.75621890547,4997.17910447761,4998.37313432836
1,2e-05,0.05,0,2497.59701492537,2496.98009950249,2498.14427860697
1,2e-05,0.1,0.05,1400.22885572139,1399.58706467662,1400.87562189055
1,2e-05,0.15,0.1,600.781094527363,600.427860696517,601.144278606965
1,2e-05,0.2,0.15,547.860696517413,547.432835820896,548.298507462687
1,2e-05,0.25,0.2,551,550.457711442786,551.517412935323
1,2e-05,0.3,0.25,498.074626865672,497.497512437811,498.646766169154
1,2e-05,0.35,0.3,477.129353233831,476.681592039801,477.582089552239
1,2e-05,0.4,0.35,424.73631840796,424.194029850746,425.328358208955
1,2e-05,0.45,0.4,397.950248756219,397.412935323383,398.502487562189
