Var1,Var2,Var3
0,0,0
6.81296396396396,6.17694972078527,7.40293213790682
14.9622732732733,13.654103291312,16.5324154118683
23.6551911911912,21.738186381011,26.0951913043611
33.8586896896897,30.8949087078456,37.081464604195
46.1353343343343,42.2816764655899,50.1689031869781
59.7887397397398,55.0747168506303,65.2970340873508
76.1485485485485,70.4206079246148,83.5059723114444
94.5225185185186,87.5096447963645,102.472375147809
116.130105105105,106.657954836948,127.378801103638
138.544815815816,127.222685084688,152.2745197136
167.027506506506,153.148523379038,182.831137233284
204.351375375375,187.182366984594,226.168841163307
238.020736736737,217.828299692158,263.969640140973
273.57997997998,251.324777146187,301.953875991659
313.827602602602,289.94959550064,343.555577233367
354.593357357357,327.307200328484,390.56437119238
407.368532532532,374.093599577046,447.935902987899
471.476800800801,430.786895268539,518.979785711607
535.774805805806,489.416140787238,592.685657058264
609.904348348348,554.487804645799,675.921901355839
689.182941941942,626.429998602723,765.536066313124
761.521457457458,695.965270213627,846.144343078805
860.082658658659,781.591656831895,954.37953242218
951.042942942943,863.894475565921,1052.06100112061
1057.41733633634,960.551200749009,1175.06010513279
1180.30846446446,1072.02067677849,1304.54107530936
1336.34562462462,1209.28113410294,1481.79767242574
1471.04355455455,1332.602138928,1627.67575428764
1640.44963363363,1488.72655750197,1815.89141859471
1839.48508508508,1671.04180503342,2054.36108132397
2069.72132132132,1874.33682439067,2305.79359700176
2307.11108608609,2102.68322834475,2581.0472982541
2538.80562162162,2306.03490418229,2822.28829320868
2776.94397497498,2529.7342553833,3084.00240417679
3038.33661561561,2761.58771993761,3367.5595133876
3361.2680990991,3051.03835531241,3743.79094556889
3686.39867767768,3340.00590245494,4092.40736366761
4056.16832732733,3675.94468405584,4520.67235343543
4407.78596196196,3992.34071608835,4903.84478213616
4859.56493993994,4414.39469073824,5405.21856163612
5339.02462462463,4846.49535380044,5925.16262600983
5811.0259019019,5287.83776012169,6448.41409747241
6387.28201801802,5833.85275655088,7099.31384752609
7027.56397997998,6394.68134125441,7752.09863440011
7670.20576976977,6992.48853666986,8458.58491755814
8383.01452552552,7636.4511609274,9230.53285432953
9115.65475475475,8316.38488947226,10075.356073503
9908.96920520521,9066.48551930492,10958.8699377512
10796.8098808809,9884.82315246876,11904.74848718
11730.6635425425,10736.0858405803,12956.4655831174
12747.7529519519,11683.0094265054,14081.4489015496
13669.7958668669,12555.5455286692,15119.0835452041
14776.9547907908,13598.7160161555,16372.0785821314
15971.6657367367,14702.3802391555,17704.8096290389
17346.2928038038,15941.9889822325,19218.4610819079
18725.2541781782,17214.0952924118,20712.2390031795
20130.4671461462,18553.953516257,22299.5667930986
21684.6536776777,19961.0245534302,23990.7427192597
23375.55995996,21493.881334983,25807.4878712047
25147.5309069069,23141.014661922,27807.8697025023
26954.0497457457,24821.4982907333,29842.213151116
28936.4244084084,26589.9144085419,32022.6390592445
30778.7687687688,28262.9590858571,34102.7716411939
32896.9543783784,30240.566413294,36426.8176326132
35050.2335445445,32328.1088229624,38838.7210967658
37244.1975215215,34355.9721797971,41145.0669507433
39708.961032032,36600.1062960132,43793.7480374283
42108.1575325325,38922.5901357881,46628.1352674093
44617.9736376376,41134.0026728194,49166.0194058739
47085.5680920921,43465.9996355848,51780.9470784452
49973.6482072072,46203.5846298552,55066.4872241421
52794.6327087087,48666.9758763502,58047.8745051106
55773.3071061061,51406.152660261,61198.0847689701
58606.3402402402,54082.9628355199,64431.0889738609
61244.0256256256,56597.0941988568,67166.1235943353
63766.9255815816,58910.3796341673,69789.2469625583
66291.851962963,61260.2711093077,72742.8768970831
69099.7811561562,63760.5772272147,75657.9125821832
71736.0450690691,66060.6372407172,78642.8596093021
74261.9912672673,68299.2869072024,81268.6273904305
77978.9522632633,71637.2707565306,85286.5474997229
80045.0766756757,73705.7710664399,87557.0036834777
82682.581025025,75802.2575593357,90421.9704508347
84750.7503463463,77695.7161572366,92705.2639574963
87278.1372562563,80238.3623372541,95403.6769775836
89255.7194944945,82402.7055947222,97737.2684267575
91118.671990991,84004.4189188111,99976.4864521078
92951.3128288288,85632.6690107481,101701.755930027
94708.2204594595,87339.2533275722,103600.090453053
96368.284059059,88811.0445194853,105486.586804466
97658.9374164164,90077.33988285,106932.944642683
98596.2056046046,91049.1926608746,108016.425554601
99430.9827417417,91946.6801963996,108967.095291992
100449.93052953,92849.5651770988,110237.342549045
100825.588099099,93171.79550735,110769.733775048
100562.39374975,92730.3302091153,110475.443523867
101449.273237237,93621.7964884041,111923.146575353
101736.773377377,93281.8370890665,111703.312027428
101366.666465465,92852.7286932988,111379.41911057
101131.182558559,92532.4807228987,110720.761075081
100393.953057057,91832.1830256658,110501.361837681
100043.113349349,91717.3587329577,110963.902232824
98953.4750750751,90756.0044733843,109582.524807234
97774.2132122122,89296.800641559,108448.967740583
95496.2348658659,87565.5430721437,106153.691170264
93617.9009369369,85573.7005805383,104083.975028301
92161.6784534535,84177.5854208149,102615.461707413
89427.7571321322,81572.1501688973,99289.2308485338
86758.4522272272,79292.4694477717,97230.9054640907
84245.631967968,76530.7776046974,94132.8381007351
82203.8682682683,74489.3001126399,91802.142652982
79785.112056056,72344.001717061,89315.0542914986
77274.073973974,70244.5789807853,86584.3164461116
74700.707986987,67748.1987881975,83437.5027301211
72178.2746656657,65648.7380847457,81385.4690990626
69983.103039039,63560.4522344975,78562.4445064989
67377.838954955,61273.731480429,75931.5782402886
64634.5458168168,58774.1183697809,72534.0017485387
62810.805029029,57278.3456780505,70973.6693060117
60162.4535695696,54518.4625540801,68111.790054063
58135.0226226226,52768.602985868,66153.5549513958
55833.8654644645,50681.2767319054,63788.9957179325
53336.7537577578,48482.8280549792,60580.0888539687
50863.305001001,46207.9555305217,57351.0556636997
48066.2558468469,43808.3991704902,54530.2466290307
45053.8578568569,40836.4397050627,50855.8603691265
42728.5586026026,38689.0611816045,48063.515263105
41009.4085675676,37351.5907306496,46344.8477200038
38572.6227667668,35069.3358875332,43910.6151378564
36687.7845595596,33333.4778562829,41685.6150057359
35060.5901411412,31920.9325271634,39525.5320551275
33217.2262572573,30287.4921337503,37421.4417835265
31566.3423333333,28820.0770001947,35417.5900615012
30510.0365955956,27901.14401858,34219.9796249027
28643.0753913914,26187.2396003624,31928.8533942533
27092.8081831832,24798.0733684169,30017.6196816881
25581.3865375375,23334.2713374725,28264.8262153896
23993.7512072072,21864.7543509095,26531.3502083756
22839.8333443443,20776.6992864565,25363.6002563518
21894.1034784785,20080.297888913,24261.3233022437
20898.8014324324,19179.0145151759,22922.800291476
19864.7419329329,18242.9029730821,21874.505686038
19312.0729119119,17801.0626418034,21179.247723885
18323.1454964965,16986.9688059131,20203.8935221927
17219.7564124124,15875.7140133737,19068.3386613455
16935.5781771772,15604.3137542045,18763.5510967498
16609.7741331331,15303.2950455588,18408.5876695256
15897.965961962,14570.6844017745,17621.6668922959
15457.468987988,14167.7594264089,17056.8896831797
14946.6902902903,13683.1583248369,16542.4254138471
14781.6354714715,13554.5476615754,16410.358652792
13855.9627617618,12682.548045114,15352.3140079062
13312.6898888889,12181.6081271439,14733.3978798098
12865.8408648649,11841.7080911035,14346.3011621708
12452.9606046046,11425.4460278108,13762.883104807
11976.4272712713,10977.9042281237,13199.3864824847
11865.3306066066,10782.2143666892,13039.4555829333
11920.4513303303,10855.283041888,13077.1551688933
11788.3834994995,10706.8821113919,12874.7476833447
11650.15005005,10572.4038776798,12670.8337027741
11721.4823783784,10654.0596530667,12832.6603291442
11572.1319069069,10581.9839691117,12627.51461694
11371.7921921922,10376.9661073813,12386.5905395947
11206.3514554555,10222.8972049556,12338.8521804485
10791.5875625626,9853.18678860013,11888.7360780528
10572.2297657658,9639.2506962769,11687.1309293349
10513.3773763764,9635.88591642703,11600.6376196901
10205.3009009009,9336.86384901511,11327.5521719615
10301.6136136136,9442.7538872547,11313.3996054089
10013.4634634635,9196.70697700885,11057.2488109101
9681.46784284284,8857.3153794262,10631.3397401167
9753.35332832833,8948.80217264987,10665.13528213
9744.77145545545,8960.35484324998,10647.3339405923
9912.07498598598,9099.8937535567,10800.40981191
9947.61600700701,9211.19317676956,10852.8177130077
10067.7581581582,9272.12602289643,10986.7692429059
9759.44175775776,8974.95817003421,10729.5333100103
9973.32923323323,9153.45231351391,10846.0017644236
10057.489965966,9251.47830985062,10963.6221315371
10040.8995555556,9259.16853341607,10905.1803746714
10400.6428018018,9561.89650615556,11320.1656306683
10196.2898488489,9359.43788575697,11165.3473815213
10328.764968969,9488.24028988477,11368.8707194724
10268.6506416416,9438.79158853064,11279.4422143722
10260.0832992993,9457.02662968747,11244.65775177
9897.45556656657,9107.92261801873,10811.4847111286
10022.176,9247.40859889561,10963.9872940216
10328.8817927928,9479.72370778742,11262.4348616259
9859.80791891892,9052.27831969544,10775.0588487531
9982.18816316316,9111.9163852332,10931.5647301053
10143.9023663664,9299.79726563372,11145.1542945189
9927.29758158158,9113.52034688853,10984.2650006253
9871.83567167166,9072.34305369128,10954.5225621829
9778.13549449449,8982.29866907228,10909.7996236597
9618.67605105105,8828.81828761702,10638.3372560501
9777.08091991992,9051.43008771335,10896.5549768036
9505.55542642643,8743.46845563028,10524.1118419513
9501.1408918919,8717.70387837397,10451.7531482054
9682.85916316316,8844.56915961731,10722.122812257
9656.92122522523,8841.52114153359,10642.9289704614
9572.68628628628,8720.32624770921,10614.9180060334
9441.32292292292,8627.51734402356,10461.6888929296
9834.86994094094,8959.49785787596,10861.1704108176
9654.31343243243,8865.85850698323,10604.2941929506
9412.18616116117,8614.13569162084,10344.649749782
9170.65397297298,8379.20049405896,10066.2489436828
9122.390006006,8327.84707986323,9985.14411910781
9113.39610710711,8299.6854691769,9963.4945587948
9509.95421021021,8724.036607569,10377.5278714628
9617.80371471471,8814.00908581497,10561.3652712686
9332.09401301301,8553.58918251026,10254.2526232894
9289.33398998999,8503.95906337818,10294.7566092456
9061.51331231231,8309.55493138468,9941.08653318517
9219.5497007007,8455.22836157119,10143.0271973131
9456.33063463463,8667.27808320227,10439.9366626722
9520.5041001001,8733.53638716874,10492.2108138283
9537.57054554554,8820.15825962576,10535.9233291663
9714.82275875876,8991.65224824535,10712.4329300011
